id;isbn;name;publish_year;copies;cover;cover_content_type
1;bypassing opt;installation;Arge;85835;../fake-data/blob/hipster.png;image/png
2;neural-net re;Buckinghamshire Future-proofed deposit;Qual;39757;../fake-data/blob/hipster.png;image/png
3;Cambridgeshir;bricks-and-clicks Concrete Global;Fiji;98216;../fake-data/blob/hipster.png;image/png
4;Borders conte;Tasty Customer Human;pink;70035;../fake-data/blob/hipster.png;image/png
5;programming S;invoice Unbranded Cheese;New ;94013;../fake-data/blob/hipster.png;image/png
6;Supervisor cl;Latvia;Port;1807;../fake-data/blob/hipster.png;image/png
7;Bedfordshire;navigate;prog;30806;../fake-data/blob/hipster.png;image/png
8;Benin Berkshi;dedicated Persevering;Coor;43439;../fake-data/blob/hipster.png;image/png
9;dot-com payme;white sensor local;calc;4360;../fake-data/blob/hipster.png;image/png
10;Representativ;Response Human;back;33075;../fake-data/blob/hipster.png;image/png
